特征,train,val,test
小客车上行,336.66414577441464,245.60666457920118,246.37922686087984
小客车下行,335.07368052643034,247.43867802322586,250.64172047351798
非小客车上行,182.9309100183487,188.87820855884596,186.59042107982324
非小客车下行,184.50012844151507,192.01320475326375,190.23979817860445
