,GNN_MAE,GNN_MAPE,GNN_RMAE,LLM_MAE,LLM_MAPE,LLM_RMAE
Passenger Car Up,123.38,73.83,28.52,116.06,58.12,26.82
Passenger Car Down,177.69,160.38,44.99,147.08,81.57,37.24
Non-Passenger Car Up,174.77,108.0,37.52,148.3,51.25,31.84
Non-Passenger Car Down,243.08,142.28,39.65,207.91,55.15,33.92
