,GNN_MAE,GNN_MAPE,GNN_RMAE,LLM_MAE,LLM_MAPE,LLM_RMAE
Passenger Car Up,123.38,73.83,28.52,113.24,66.93,26.17
Passenger Car Down,177.69,160.38,44.99,165.93,143.08,42.02
Non-Passenger Car Up,174.77,108.0,37.52,164.23,89.91,35.26
Non-Passenger Car Down,243.08,142.28,39.65,227.2,99.69,37.06
