Feature,MAE,RMSE,MAPE
Passenger Car Up,89.00053405761719,159.96278864160877,101.3050765991211
Passenger Car Down,88.7889633178711,162.80691569118002,100.01286315917969
Non-Passenger Car Up,40.64909744262695,66.40516910885026,71.378173828125
Non-Passenger Car Down,42.39944839477539,70.8259792444658,76.650146484375
