,GNN_MAE,GNN_MAPE,GNN_RMAE,LLM_MAE,LLM_MAPE,LLM_RMAE
Passenger Car Up,117.87,63.45,27.24,122.86,75.24,28.4
Passenger Car Down,153.6,93.74,38.89,141.67,82.36,35.87
Non-Passenger Car Up,150.71,58.92,32.36,227.55,96.48,48.85
Non-Passenger Car Down,211.6,62.02,34.52,387.78,119.31,63.25
